"MouseGene","MUSENSG","HumanGene"
"Musk","ENSMUSG00000057280","MUSK"
"Nsmaf","ENSMUSG00000028245","NSMAF"
"Ntan1","ENSMUSG00000022681","NTAN1"
"Ntf3","ENSMUSG00000049107","NTF3"
"Nthl1","ENSMUSG00000041429","NTHL1"
"Ntn1","ENSMUSG00000020902","NTN1"
"Ntn3","ENSMUSG00000036473","NTN3"
"Ntrk1","ENSMUSG00000028072","NTRK1"
"Ntrk2","ENSMUSG00000055254","NTRK2"
"Ntrk3","ENSMUSG00000059146","NTRK3"
"Ddr2","ENSMUSG00000026674","DDR2"
"Ntsr1","ENSMUSG00000027568","NTSR1"
"Ntsr2","ENSMUSG00000020591","NTSR2"
"Dusp8","ENSMUSG00000037887","DUSP8"
"Nucb1","ENSMUSG00000030824","NUCB1"
"Nudc","ENSMUSG00000028851","NUDC"
"Numb","ENSMUSG00000021224","NUMB"
"Numbl","ENSMUSG00000063160","NUMBL"
"Nup62","ENSMUSG00000109511","NUP62"
"Nr4a2","ENSMUSG00000026826","NR4A2"
"Nxn","ENSMUSG00000020844","NXN"
"Nxph1","ENSMUSG00000046178","NXPH1"
"Nxph2","ENSMUSG00000069132","NXPH2"
"Gpr143","ENSMUSG00000025333","GPR143"
"Oat","ENSMUSG00000030934","OAT"
"Oaz1","ENSMUSG00000035242","OAZ1"
"Oaz2","ENSMUSG00000040652","OAZ2"
"Oc90","ENSMUSG00000015001","OC90"
"Ocln","ENSMUSG00000021638","OCLN"
"Ocm","ENSMUSG00000029618","OCM"
"Odc1","ENSMUSG00000011179","ODC1"
"Odf1","ENSMUSG00000061923","ODF1"
"Odf2","ENSMUSG00000026790","ODF2"
"Nobox","ENSMUSG00000029736","NOBOX"
"Sebox","ENSMUSG00000001103","SEBOX"
"Ogdh","ENSMUSG00000020456","OGDH"
"Ogg1","ENSMUSG00000030271","OGG1"
"Ogn","ENSMUSG00000021390","OGN"
"Oit1","ENSMUSG00000021749","FAM3D"
"Fxyd5","ENSMUSG00000009687","FXYD5"
"Oit3","ENSMUSG00000009654","OIT3"
"Olfr15","ENSMUSG00000059043","OR2C1"
"Olfr16","ENSMUSG00000037924","OR10J5"
"Olfr17","ENSMUSG00000073897","OR10A4"
"Olfr19","ENSMUSG00000048101","OR7A17"
"Olfr2","ENSMUSG00000070417","OR6A2"
"Olfr24","ENSMUSG00000054141","OR1M1"
"Olfr26","ENSMUSG00000047667","OR8D1"
"Olfr3","ENSMUSG00000075384","OR1J1"
"Olfr31","ENSMUSG00000072707","OR2T1"
"Olfr32","ENSMUSG00000075066","OR4B1"
"Olfr263","ENSMUSG00000071522","OR2W1"
"Olfr56","ENSMUSG00000040328","OR2V1"
"Olfr57","ENSMUSG00000060205","OR7A5"
"Olfr65","ENSMUSG00000110259","OR51B6"
"Olfr64","ENSMUSG00000063615","OR51B2"
"Olfr66","ENSMUSG00000058200","OR51B4"
"Olfr68","ENSMUSG00000061626","OR52A1"
"Olfr69","ENSMUSG00000058662","OR52A5"
"Omg","ENSMUSG00000049612","OMG"
"Omp","ENSMUSG00000074006","OMP"
"Tnfrsf11b","ENSMUSG00000063727","TNFRSF11B"
"Oprd1","ENSMUSG00000050511","OPRD1"
"Oprk1","ENSMUSG00000025905","OPRK1"
"Oprl1","ENSMUSG00000027584","OPRL1"
"Oprm1","ENSMUSG00000000766","OPRM1"
"Sigmar1","ENSMUSG00000036078","SIGMAR1"
"Orc1","ENSMUSG00000028587","ORC1"
"Orc2","ENSMUSG00000026037","ORC2"
"Slc22a6","ENSMUSG00000024650","SLC22A6"
"Slc22a18","ENSMUSG00000000154","SLC22A18"
"Slc25a15","ENSMUSG00000031482","SLC25A15"
"Sqstm1","ENSMUSG00000015837","SQSTM1"
"Osm","ENSMUSG00000058755","OSM"
"Osmr","ENSMUSG00000022146","OSMR"
"Hspa4l","ENSMUSG00000025757","HSPA4L"
"Otc","ENSMUSG00000031173","OTC"
"Cldn11","ENSMUSG00000037625","CLDN11"
"Otog","ENSMUSG00000009487","OTOG"
"Otp","ENSMUSG00000021685","OTP"
"Otx1","ENSMUSG00000005917","OTX1"
"Otx2","ENSMUSG00000021848","OTX2"
"Ovol1","ENSMUSG00000024922","OVOL1"
"Oxt","ENSMUSG00000027301","OXT"
"Oxtr","ENSMUSG00000049112","OXTR"
"Oca2","ENSMUSG00000030450","OCA2"
"Mybbp1a","ENSMUSG00000040463","MYBBP1A"
"P2rx1","ENSMUSG00000020787","P2RX1"
"P2rx4","ENSMUSG00000029470","P2RX4"
"P2rx7","ENSMUSG00000029468","P2RX7"
"P2rx6","ENSMUSG00000022758","P2RX6"
"P2ry1","ENSMUSG00000027765","P2RY1"
"P2ry2","ENSMUSG00000032860","P2RY2"
"P4ha1","ENSMUSG00000019916","P4HA1"
"P4ha2","ENSMUSG00000018906","P4HA2"
"P4hb","ENSMUSG00000025130","P4HB"
"Bloc1s6","ENSMUSG00000005804","BLOC1S6"
"Pabpc1","ENSMUSG00000022283","PABPC1"
"Pafah1b1","ENSMUSG00000020745","PAFAH1B1"
"Pafah1b2","ENSMUSG00000003131","PAFAH1B2"
"Pafah1b3","ENSMUSG00000005447","PAFAH1B3"
"Prdx1","ENSMUSG00000028691","PRDX1"
"Pah","ENSMUSG00000020051","PAH"
"Pak1","ENSMUSG00000030774","PAK1"
"Pak3","ENSMUSG00000031284","PAK3"
"Palm","ENSMUSG00000035863","PALM"
"Pam","ENSMUSG00000026335","PAM"
"Cntn3","ENSMUSG00000030075","CNTN3"
"Reg3b","ENSMUSG00000071356","REG3A"
"Pappa","ENSMUSG00000028370","PAPPA"
"Pax1","ENSMUSG00000037034","PAX1"
"Pax2","ENSMUSG00000004231","PAX2"
"Pax3","ENSMUSG00000004872","PAX3"
"Pax4","ENSMUSG00000029706","PAX4"
"Pax5","ENSMUSG00000014030","PAX5"
"Pax6","ENSMUSG00000027168","PAX6"
"Pax7","ENSMUSG00000028736","PAX7"
"Pax8","ENSMUSG00000026976","PAX8"
"Pax9","ENSMUSG00000001497","PAX9"
"Pbx1","ENSMUSG00000052534","PBX1"
"Pbx2","ENSMUSG00000034673","PBX2"
"Pbx3","ENSMUSG00000038718","PBX3"
"Igbp1","ENSMUSG00000031221","IGBP1"
"Kat2b","ENSMUSG00000000708","KAT2B"
"Pcbp2","ENSMUSG00000056851","PCBP2"
"Pcdh10","ENSMUSG00000049100","PCDH10"
"Pcdh8","ENSMUSG00000036422","PCDH8"
"Pck1","ENSMUSG00000027513","PCK1"
"Pcm1","ENSMUSG00000031592","PCM1"
"Pcna","ENSMUSG00000027342","PCNA"
"Pcolce","ENSMUSG00000029718","PCOLCE"
"Pcp2","ENSMUSG00000004630","PCP2"
"Pcp4","ENSMUSG00000090223","PCP4"
"Pcsk1","ENSMUSG00000021587","PCSK1"
"Pcsk2","ENSMUSG00000027419","PCSK2"
"Furin","ENSMUSG00000030530","FURIN"
"Pcsk4","ENSMUSG00000020131","PCSK4"
"Pcsk5","ENSMUSG00000024713","PCSK5"
"Pcsk6","ENSMUSG00000030513","PCSK6"
"Pcsk7","ENSMUSG00000035382","PCSK7"
"Cdk16","ENSMUSG00000031065","CDK16"
"Cdk18","ENSMUSG00000026437","CDK18"
"Pctp","ENSMUSG00000020553","PCTP"
"Pcx","ENSMUSG00000024892","PC"
"Pdcd1","ENSMUSG00000026285","PDCD1"
"Pdcd2","ENSMUSG00000014771","PDCD2"
"Pdcd4","ENSMUSG00000024975","PDCD4"
"Pdcd6","ENSMUSG00000021576","PDCD6"
"Pdcd6ip","ENSMUSG00000032504","PDCD6IP"
"Pdcd11","ENSMUSG00000025047","PDCD11"
"Pde1a","ENSMUSG00000059173","PDE1A"
"Pde1b","ENSMUSG00000022489","PDE1B"
"Pde1c","ENSMUSG00000004347","PDE1C"
"Pde3b","ENSMUSG00000030671","PDE3B"
"Pde4a","ENSMUSG00000032177","PDE4A"
"Pde4b","ENSMUSG00000028525","PDE4B"
"Pde6d","ENSMUSG00000026239","PDE6D"
"Pde7a","ENSMUSG00000069094","PDE7A"
"Pde8a","ENSMUSG00000025584","PDE8A"
"Pde9a","ENSMUSG00000041119","PDE9A"
"Pde6b","ENSMUSG00000029491","PDE6B"
"Pde6g","ENSMUSG00000025386","PDE6G"
"Pdgfa","ENSMUSG00000025856","PDGFA"
"Pdgfb","ENSMUSG00000000489","PDGFB"
"Pdgfra","ENSMUSG00000029231","PDGFRA"
"Pdgfrb","ENSMUSG00000024620","PDGFRB"
"Pdha1","ENSMUSG00000031299","PDHA1"
"Padi1","ENSMUSG00000025329","PADI1"
"Padi2","ENSMUSG00000028927","PADI2"
"Padi3","ENSMUSG00000025328","PADI3"
"Padi4","ENSMUSG00000025330","PADI4"
"Pdk2","ENSMUSG00000038967","PDK2"
"Enpp1","ENSMUSG00000037370","ENPP1"
"Enpp2","ENSMUSG00000022425","ENPP2"
"Pdpk1","ENSMUSG00000024122","PDPK1"
"Pdx1","ENSMUSG00000029644","PDX1"
"Pdyn","ENSMUSG00000027400","PDYN"
"Pea15a","ENSMUSG00000013698","PEA15"
"Etv4","ENSMUSG00000017724","ETV4"
"Pecam1","ENSMUSG00000020717","PECAM1"
"Peg3","ENSMUSG00000002265","PEG3"
"Pemt","ENSMUSG00000000301","PEMT"
"Penk","ENSMUSG00000045573","PENK"
"Pepd","ENSMUSG00000063931","PEPD"
"Per1","ENSMUSG00000020893","PER1"
"Per2","ENSMUSG00000055866","PER2"
"Per3","ENSMUSG00000028957","PER3"
"Pex11a","ENSMUSG00000030545","PEX11A"
"Pex11b","ENSMUSG00000028102","PEX11B"
"Pex16","ENSMUSG00000027222","PEX16"
"Pex7","ENSMUSG00000020003","PEX7"
"Cfp","ENSMUSG00000001128","CFP"
"Pfdn2","ENSMUSG00000006412","PFDN2"
"Pfkfb1","ENSMUSG00000025271","PFKFB1"
"Pfkfb2","ENSMUSG00000026409","PFKFB2"
"Pfkl","ENSMUSG00000020277","PFKL"
"Pfkm","ENSMUSG00000033065","PFKM"
"Pfn1","ENSMUSG00000018293","PFN1"
"Pfn2","ENSMUSG00000027805","PFN2"
"Prf1","ENSMUSG00000037202","PRF1"
"Cdk14","ENSMUSG00000028926","CDK14"
"Pgam1","ENSMUSG00000011752","PGAM1"
"Pgf","ENSMUSG00000004791","PGF"
"Pgk1","ENSMUSG00000062070","PGK1"
"Pgk2","ENSMUSG00000031233","PGK2"
"Pgr","ENSMUSG00000031870","PGR"
"Abcb4","ENSMUSG00000042476","ABCB4"
"Abcb1a","ENSMUSG00000040584","ABCB1"
"Phb","ENSMUSG00000038845","PHB"
"Slc25a3","ENSMUSG00000061904","SLC25A3"
"Phex","ENSMUSG00000057457","PHEX"
"Phf2","ENSMUSG00000038025","PHF2"
"Phka1","ENSMUSG00000034055","PHKA1"
"Phkg1","ENSMUSG00000025537","PHKG1"
"Phtf1","ENSMUSG00000058388","PHTF1"
"Pick1","ENSMUSG00000068206","PICK1"
"Piga","ENSMUSG00000031381","PIGA"
"Pigf","ENSMUSG00000024145","PIGF"
"Pigr","ENSMUSG00000026417","PIGR"
"Pik3c2a","ENSMUSG00000030660","PIK3C2A"
"Pik3c2g","ENSMUSG00000030228","PIK3C2G"
"Pik3ca","ENSMUSG00000027665","PIK3CA"
"Pik3cd","ENSMUSG00000039936","PIK3CD"
"Pik3r1","ENSMUSG00000041417","PIK3R1"
"Pik3r2","ENSMUSG00000031834","PIK3R2"
"Pik3r3","ENSMUSG00000028698","PIK3R3"
"Pikfyve","ENSMUSG00000025949","PIKFYVE"
"Pim1","ENSMUSG00000024014","PIM1"
"Pim2","ENSMUSG00000031155","PIM2"
"Pip","ENSMUSG00000058499","PIP"
"Pip5k1c","ENSMUSG00000034902","PIP5K1C"
"Pip4k2a","ENSMUSG00000026737","PIP4K2A"
"Pip5k1b","ENSMUSG00000024867","PIP5K1B"
"Pip5k1a","ENSMUSG00000028126","PIP5K1A"
"Pira1","ENSMUSG00000081665","LILRB3"
"Pira2","ENSMUSG00000089942","LILRB3"
"Lilra6","ENSMUSG00000030427","LILRB3"
"Pira6","MGI:MGI:1195974","LILRB3"
"Pirb","ENSMUSG00000058818","LILRB3"
"Pou1f1","ENSMUSG00000004842","POU1F1"
"Pitpna","ENSMUSG00000017781","PITPNA"
"Pitpnm1","ENSMUSG00000024851","PITPNM1"
"Pitx1","ENSMUSG00000021506","PITX1"
"Pitx2","ENSMUSG00000028023","PITX2"
"Pitx3","ENSMUSG00000025229","PITX3"
"Pja1","ENSMUSG00000034403","PJA1"
"Pkm","ENSMUSG00000032294","PKM"
"Prkaca","ENSMUSG00000005469","PRKACA"
"Prkacb","ENSMUSG00000005034","PRKACB"
"Prkca","ENSMUSG00000050965","PRKCA"
"Prkcb","ENSMUSG00000052889","PRKCB"
"Prkcg","ENSMUSG00000078816","PRKCG"
"Prkcd","ENSMUSG00000021948","PRKCD"
"Prkce","ENSMUSG00000045038","PRKCE"
"Prkch","ENSMUSG00000021108","PRKCH"
"Prkci","ENSMUSG00000037643","PRKCI"
"Prkd1","ENSMUSG00000002688","PRKD1"
"Prkcq","ENSMUSG00000026778","PRKCQ"
"Prkcz","ENSMUSG00000029053","PRKCZ"
"Pkd1","ENSMUSG00000032855","PKD1"
"Pkd2","ENSMUSG00000034462","PKD2"
"Pkdrej","ENSMUSG00000052496","PKDREJ"
"Pkia","ENSMUSG00000027499","PKIA"
"Pkib","ENSMUSG00000019876","PKIB"
"Pkig","ENSMUSG00000035268","PKIG"
"Pklr","ENSMUSG00000041237","PKLR"
"Pknox1","ENSMUSG00000006705","PKNOX1"
"Pkp1","ENSMUSG00000026413","PKP1"
"Lypla1","ENSMUSG00000025903","LYPLA1"
"Pla2g1b","ENSMUSG00000029522","PLA2G1B"
"Pla2r1","ENSMUSG00000054580","PLA2R1"
"Pla2g2c","ENSMUSG00000028750","PLA2G2C"
"Pla2g2d","ENSMUSG00000041202","PLA2G2D"
"Pla2g4a","ENSMUSG00000056220","PLA2G4A"
"Pla2g5","ENSMUSG00000041193","PLA2G5"
"Plaa","ENSMUSG00000028577","PLAA"
"Serpine1","ENSMUSG00000037411","SERPINE1"
"Serpinb2","ENSMUSG00000062345","SERPINB2"
"Papola","ENSMUSG00000021111","PAPOLA"
"Plat","ENSMUSG00000031538","PLAT"
"Plau","ENSMUSG00000021822","PLAU"
"Plaur","ENSMUSG00000046223","PLAUR"
"Plcb1","ENSMUSG00000051177","PLCB1"
"Plcb2","ENSMUSG00000040061","PLCB2"
"Plcb3","ENSMUSG00000024960","PLCB3"
"Plcb4","ENSMUSG00000039943","PLCB4"
"Plcd1","ENSMUSG00000010660","PLCD1"
"Plcd4","ENSMUSG00000026173","PLCD4"
"Plcg1","ENSMUSG00000016933","PLCG1"
"Pld1","ENSMUSG00000027695","PLD1"
"Pld2","ENSMUSG00000020828","PLD2"
"Pld3","ENSMUSG00000003363","PLD3"
"Plec","ENSMUSG00000022565","PLEC"
"Pa2g4","ENSMUSG00000025364","PA2G4"
"Plg","ENSMUSG00000059481","PLG"
"Serpinf2","ENSMUSG00000038224","SERPINF2"
"Plk1","ENSMUSG00000030867","PLK1"
"Plod1","ENSMUSG00000019055","PLOD1"
"Plp1","ENSMUSG00000031425","PLP1"
"Plp2","ENSMUSG00000031146","PLP2"
"Lcp1","ENSMUSG00000021998","LCP1"
"Ccl21a","ENSMUSG00000094686","CCL21"
"Pltp","ENSMUSG00000017754","PLTP"
"Bpifa1","ENSMUSG00000027483","BPIFA1"
"Plxna1","ENSMUSG00000030084","PLXNA1"
"Plxna2","ENSMUSG00000026640","PLXNA2"
"Plxna3","ENSMUSG00000031398","PLXNA3"
"Pml","ENSMUSG00000036986","PML"
"Pmp2","ENSMUSG00000052468","PMP2"
"Pmp22","ENSMUSG00000018217","PMP22"
"Pms2","ENSMUSG00000075569","PMS2"
"Prrx1","ENSMUSG00000026586","PRRX1"
"Phox2b","ENSMUSG00000012520","PHOX2B"
"Ppp1r14b","ENSMUSG00000056612","PPP1R14B"
"Pnliprp1","ENSMUSG00000042179","PNLIPRP1"
"Pnliprp2","ENSMUSG00000025091","PNLIPRP2"
"Pnmt","ENSMUSG00000038216","PNMT"
"Pnn","ENSMUSG00000020994","PNN"
"Pnp","ENSMUSG00000021871","PNP"
"Sept5","ENSMUSG00000072214","SEPT5"
"Sept4","ENSMUSG00000020486","SEPT4"
"Pola1","ENSMUSG00000006678","POLA1"
"Pola2","ENSMUSG00000024833","POLA2"
"Polb","ENSMUSG00000031536","POLB"
"Pold1","ENSMUSG00000038644","POLD1"
"Pold2","ENSMUSG00000020471","POLD2"
"Pole","ENSMUSG00000007080","POLE"
"Pole2","ENSMUSG00000020974","POLE2"
"Polg","ENSMUSG00000039176","POLG"
"Pomc","ENSMUSG00000020660","POMC"
"Pon1","ENSMUSG00000002588","PON1"
"Cnot7","ENSMUSG00000031601","CNOT7"
"Por","ENSMUSG00000005514","POR"
"Pou2af1","ENSMUSG00000032053","POU2AF1"
"Pou2f1","ENSMUSG00000026565","POU2F1"
"Pou2f2","ENSMUSG00000008496","POU2F2"
"Pou2f3","ENSMUSG00000032015","POU2F3"
"Pou3f2","ENSMUSG00000095139","POU3F2"
"Pou3f3","ENSMUSG00000045515","POU3F3"
"Pou3f4","ENSMUSG00000056854","POU3F4"
"Pou4f1","ENSMUSG00000048349","POU4F1"
"Pou4f2","ENSMUSG00000031688","POU4F2"
"Pou4f3","ENSMUSG00000024497","POU4F3"
"Pou5f1","ENSMUSG00000024406","POU5F1"
"Pou6f1","ENSMUSG00000009739","POU6F1"
"Endou","ENSMUSG00000022468","ENDOU"
"Ppara","ENSMUSG00000022383","PPARA"
"Med1","ENSMUSG00000018160","MED1"
"Ppard","ENSMUSG00000002250","PPARD"
"Pparg","ENSMUSG00000000440","PPARG"
"Ppargc1a","ENSMUSG00000029167","PPARGC1A"
"Scand1","ENSMUSG00000046229","SCAND1"
"Ppef2","ENSMUSG00000029410","PPEF2"
"Ppfibp2","ENSMUSG00000036528","PPFIBP2"
"Ctsa","ENSMUSG00000017760","CTSA"
"Sypl","ENSMUSG00000020570","SYPL1"
"Ppib","ENSMUSG00000032383","PPIB"
"Ppic","ENSMUSG00000024538","PPIC"
"Lgals3bp","ENSMUSG00000033880","LGALS3BP"
"Ppl","ENSMUSG00000039457","PPL"
"Ppm1a","ENSMUSG00000021096","PPM1A"
"Ppm1b","ENSMUSG00000061130","PPM1B"
"Ppox","ENSMUSG00000062729","PPOX"
"Ppp1ca","ENSMUSG00000040385","PPP1CA"
"Ppp1cb","ENSMUSG00000014956","PPP1CB"
"Ppp1r1b","ENSMUSG00000061718","PPP1R1B"
"Ppp1r17","ENSMUSG00000002930","PPP1R17"
"Ppp2ca","ENSMUSG00000020349","PPP2CA"
"Ppp2cb","ENSMUSG00000009630","PPP2CB"
"Ppp3ca","ENSMUSG00000028161","PPP3CA"
"Ppp3cb","ENSMUSG00000021816","PPP3CB"
"Ppp3cc","ENSMUSG00000022092","PPP3CC"
"Ppp3r1","ENSMUSG00000033953","PPP3R1"
"Ppp3r2","ENSMUSG00000028310","PPP3R2"
"Ppp5c","ENSMUSG00000003099","PPP5C"
"Inpp5k","ENSMUSG00000006127","INPP5K"
"Ppt1","ENSMUSG00000028657","PPT1"
"Ppy","ENSMUSG00000017316","PPY"
"Nup88","ENSMUSG00000040667","NUP88"
"Mob4","ENSMUSG00000025979","MOB4"
"Prep","ENSMUSG00000019849","PREP"
"Prg2","ENSMUSG00000027073","PRG2"
"Prim1","ENSMUSG00000025395","PRIM1"
"Prim2","ENSMUSG00000026134","PRIM2"
"Prkab1","ENSMUSG00000029513","PRKAB1"
"Prkag1","ENSMUSG00000067713","PRKAG1"
"Prkar1a","ENSMUSG00000020612","PRKAR1A"
"Prkar1b","ENSMUSG00000025855","PRKAR1B"
"Prkar2a","ENSMUSG00000032601","PRKAR2A"
"Prkar2b","ENSMUSG00000002997","PRKAR2B"
"Prkcsh","ENSMUSG00000003402","PRKCSH"
"Prkdc","ENSMUSG00000022672","PRKDC"
"Prkg1","ENSMUSG00000052920","PRKG1"
"Prkg2","ENSMUSG00000029334","PRKG2"
"Mapk11","ENSMUSG00000053137","MAPK11"
"Mapk8ip1","ENSMUSG00000027223","MAPK8IP1"
"Eif2ak2","ENSMUSG00000024079","EIF2AK2"
"Prkx","ENSMUSG00000035725","PRKX"
"Prl","ENSMUSG00000021342","PRL"
"Prlr","ENSMUSG00000005268","PRLR"
"Prm3","ENSMUSG00000050058","PRM3"
"Prnp","ENSMUSG00000079037","PRNP"
"Proc","ENSMUSG00000024386","PROC"
"Procr","ENSMUSG00000027611","PROCR"
"Prom1","ENSMUSG00000029086","PROM1"
"Prop1","ENSMUSG00000044542","PROP1"
"Pros1","ENSMUSG00000022912","PROS1"
"Prox1","ENSMUSG00000010175","PROX1"
"Prph","ENSMUSG00000023484","PRPH"
"Prph2","ENSMUSG00000023978","PRPH2"
"Prpf4b","ENSMUSG00000021413","PRPF4B"
"Prps1","ENSMUSG00000031432","PRPS1"
"Lgmn","ENSMUSG00000021190","LGMN"
"Prss12","ENSMUSG00000027978","PRSS12"
"St14","ENSMUSG00000031995","ST14"
"Klk6","ENSMUSG00000050063","KLK6"
"Tmprss15","ENSMUSG00000022857","TMPRSS15"
"Prtn3","ENSMUSG00000057729","PRTN3"
"Prx","ENSMUSG00000053198","PRX"
"Npepps","ENSMUSG00000001441","NPEPPS"
"Psap","ENSMUSG00000004207","PSAP"
"Cyth1","ENSMUSG00000017132","CYTH1"
"Cyth2","ENSMUSG00000003269","CYTH2"
"Cyth3","ENSMUSG00000018001","CYTH3"
"Psen1","ENSMUSG00000019969","PSEN1"
"Psen2","ENSMUSG00000010609","PSEN2"
"Psma2","ENSMUSG00000015671","PSMA2"
"Psma3","ENSMUSG00000060073","PSMA3"
"Psmb1","ENSMUSG00000014769","PSMB1"
"Psmb10","ENSMUSG00000031897","PSMB10"
"Psmb4","ENSMUSG00000005779","PSMB4"
"Psmb5","ENSMUSG00000022193","PSMB5"
"Psmb6","ENSMUSG00000018286","PSMB6"
"Psmb7","ENSMUSG00000026750","PSMB7"
"Psmc1","ENSMUSG00000021178","PSMC1"
"Psmc2","ENSMUSG00000028932","PSMC2"
"Psmc3","ENSMUSG00000002102","PSMC3"
"Psmc3ip","ENSMUSG00000019303","PSMC3IP"
"Psmc5","ENSMUSG00000020708","PSMC5"
"Psmd4","ENSMUSG00000005625","PSMD4"
"Psme1","ENSMUSG00000022216","PSME1"
"Psme2","ENSMUSG00000079197","PSME2"
"Psme3","ENSMUSG00000078652","PSME3"
"Pipox","ENSMUSG00000017453","PIPOX"
"Bpifa2","ENSMUSG00000042459","BPIFA2"
"Pspn","ENSMUSG00000002664","PSPN"
"Pstpip1","ENSMUSG00000032322","PSTPIP1"
"Pstpip2","ENSMUSG00000025429","PSTPIP2"
"Ptafr","ENSMUSG00000056529","PTAFR"
"Ptbp1","ENSMUSG00000006498","PTBP1"
"Ptch1","ENSMUSG00000021466","PTCH1"
"Ptch2","ENSMUSG00000028681","PTCH2"
"Ptcra","ENSMUSG00000036858","PTCRA"
"Ptdss1","ENSMUSG00000021518","PTDSS1"
"Pten","ENSMUSG00000013663","PTEN"
"Pter","ENSMUSG00000026730","PTER"
"Ptf1a","ENSMUSG00000026735","PTF1A"
"Ptgdr","ENSMUSG00000071489","PTGDR"
"Ptgds","ENSMUSG00000015090","PTGDS"
"Ptger1","ENSMUSG00000019464","PTGER1"
"Ptger2","ENSMUSG00000037759","PTGER2"
"Ptger3","ENSMUSG00000040016","PTGER3"
"Ptger4","ENSMUSG00000039942","PTGER4"
"Ptgfr","ENSMUSG00000028036","PTGFR"
"Ptgfrn","ENSMUSG00000027864","PTGFRN"
"Ptgir","ENSMUSG00000043017","PTGIR"
"Ptgis","ENSMUSG00000017969","PTGIS"
"Ptgs1","ENSMUSG00000047250","PTGS1"
"Ptgs2","ENSMUSG00000032487","PTGS2"
"Pth","ENSMUSG00000059077","PTH"
"Pthlh","ENSMUSG00000048776","PTHLH"
"Pth1r","ENSMUSG00000032492","PTH1R"
"Ptk2b","ENSMUSG00000059456","PTK2B"
"Twf1","ENSMUSG00000022451","TWF1"
"Ptn","ENSMUSG00000029838","PTN"
"Ptp4a1","ENSMUSG00000026064","PTP4A1"
"Ptp4a2","ENSMUSG00000028788","PTP4A2"
"Ptp4a3","ENSMUSG00000059895","PTP4A3"
"Ptpn1","ENSMUSG00000027540","PTPN1"
"Ptpn11","ENSMUSG00000043733","PTPN11"
"Ptpn12","ENSMUSG00000028771","PTPN12"
"Ptpn13","ENSMUSG00000034573","PTPN13"
"Ptpn14","ENSMUSG00000026604","PTPN14"
"Dusp1","ENSMUSG00000024190","DUSP1"
"Ptpn18","ENSMUSG00000026126","PTPN18"
"Ptpn2","ENSMUSG00000024539","PTPN2"
"Ptpn20","ENSMUSG00000021940","PTPN20"
"Ptpn4","ENSMUSG00000026384","PTPN4"
"Ptpn5","ENSMUSG00000030854","PTPN5"
"Ptpn22","ENSMUSG00000027843","PTPN22"
"Sirpa","ENSMUSG00000037902","SIRPA"
"Ptpra","ENSMUSG00000027303","PTPRA"
"Ptprb","ENSMUSG00000020154","PTPRB"
"Ptprc","ENSMUSG00000026395","PTPRC"
"Ptprcap","ENSMUSG00000045826","PTPRCAP"
"Ptpre","ENSMUSG00000041836","PTPRE"
"Ptprf","ENSMUSG00000033295","PTPRF"
"Ptprg","ENSMUSG00000021745","PTPRG"
"Ptprj","ENSMUSG00000025314","PTPRJ"
"Ptprk","ENSMUSG00000019889","PTPRK"
"Ptpru","ENSMUSG00000028909","PTPRU"
"Ptprm","ENSMUSG00000033278","PTPRM"
"Ptprn","ENSMUSG00000026204","PTPRN"
"Ptprn2","ENSMUSG00000056553","PTPRN2"
"Ptpro","ENSMUSG00000030223","PTPRO"
"Ptprr","ENSMUSG00000020151","PTPRR"
"Ptprs","ENSMUSG00000013236","PTPRS"
"Ptprt","ENSMUSG00000053141","PTPRT"
"Ptprz1","ENSMUSG00000068748","PTPRZ1"
"Cavin1","ENSMUSG00000004044","CAVIN1"
"Pts","ENSMUSG00000032067","PTS"
"Ptx3","ENSMUSG00000027832","PTX3"
"Igdcc3","ENSMUSG00000032394","IGDCC3"
"Pura","ENSMUSG00000043991","PURA"
"Purb","ENSMUSG00000094483","PURB"
"Pvalb","ENSMUSG00000005716","PVALB"
"Nectin2","ENSMUSG00000062300","NECTIN2"
"Pex19","ENSMUSG00000003464","PEX19"
"Abcd3","ENSMUSG00000028127","ABCD3"
"Abcd4","ENSMUSG00000021240","ABCD4"
"Pxmp2","ENSMUSG00000029499","PXMP2"
"Pex2","ENSMUSG00000040374","PEX2"
"Pxn","ENSMUSG00000029528","PXN"
"Pex5","ENSMUSG00000005069","PEX5"
"Pygm","ENSMUSG00000032648","PYGM"
"Qk","ENSMUSG00000062078","QKI"
"Rab1a","ENSMUSG00000020149","RAB1A"
"Rab10","ENSMUSG00000020671","RAB10"
"Rab11b","ENSMUSG00000077450","RAB11B"
"Rab12","ENSMUSG00000023460","RAB12"
"Rab17","ENSMUSG00000026304","RAB17"
"Rab18","ENSMUSG00000073639","RAB18"
"Rab19","ENSMUSG00000029923","RAB19"
"Rab20","ENSMUSG00000031504","RAB20"
"Rab22a","ENSMUSG00000027519","RAB22A"
"Rab23","ENSMUSG00000004768","RAB23"
"Rab24","ENSMUSG00000034789","RAB24"
"Rab33a","ENSMUSG00000031104","RAB33A"
"Rab33b","ENSMUSG00000027739","RAB33B"
"Rab3a","ENSMUSG00000031840","RAB3A"
"Rab3d","ENSMUSG00000019066","RAB3D"
"Rab4a","ENSMUSG00000019478","RAB4A"
"Rab4b","ENSMUSG00000053291","RAB4B"
"Rab5b","ENSMUSG00000000711","RAB5B"
